Edge TPU Compiler version 15.0.340273435
Input: mobilenet_v2_1.0_224_quant.tflite
Output: mobilenet_v2_1.0_224_quant_edgetpu.tflite

Operator                       Count      Status

DEPTHWISE_CONV_2D              17         Mapped to Edge TPU
CONV_2D                        36         Mapped to Edge TPU
FULLY_CONNECTED                1          Mapped to Edge TPU
QUANTIZE                       2          Mapped to Edge TPU
ADD                            10         Mapped to Edge TPU
PAD                            5          Mapped to Edge TPU
SOFTMAX                        1          Mapped to Edge TPU
MEAN                           1          Mapped to Edge TPU
